"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia"	"body_site"	"oral"	"body_siteoral"	12.0794512077847	0	0.212398485634734	0	0	0	0	NA	"prevalence"	55	24
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	26.5834305916103	0	0.29605249485591	0	0	0	0	NA	"prevalence"	55	24
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-12.0794395118467	0	0.197908861600511	0	0	0	0	NA	"prevalence"	55	24
"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Leptotrichiaceae|Leptotrichia"	"body_site"	"nasal"	"body_sitenasal"	12.8431875486043	0	0.29114123631586	0	0	0	0	NA	"prevalence"	55	22
"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Leptotrichiaceae|Leptotrichia"	"body_site"	"oral"	"body_siteoral"	35.5224816168278	0	0.00214983634535061	0	0	0	0	NA	"prevalence"	55	22
"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Leptotrichiaceae|Leptotrichia"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	5.48800277243308	0	0.00208155775163063	0	0	0	0	NA	"prevalence"	55	22
"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Leptotrichiaceae|Leptotrichia"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-3.97583948437455	0	0.00214983991342411	0	0	0	0	NA	"prevalence"	55	22
"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"body_site"	"oral"	"body_siteoral"	33.2613056336496	0	0.433876118516087	0	0	0	0	NA	"prevalence"	55	25
"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Leptotrichiaceae|Leptotrichia"	"body_site"	"skin"	"body_siteskin"	11.5176263563132	0	0.334347288070625	4.80902664022764e-260	5.51969391039461e-258	4.80902664022764e-260	4.49911159007964e-258	NA	"prevalence"	55	22
"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-13.4138401439979	0	0.464817334017043	3.98611665786152e-183	4.11765850757095e-181	7.97223331572306e-183	6.71262045183881e-181	NA	"prevalence"	55	25
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"body_site"	"oral"	"body_siteoral"	36.2367534914243	0	1.35227122457195	3.50619792919266e-158	3.2926386007782e-156	3.50619792919266e-158	2.68383514216384e-156	NA	"prevalence"	55	23
"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"body_site"	"skin"	"body_siteskin"	8.03995584588296	0	0.649223841407594	3.19234078997171e-35	2.74807336336732e-33	6.38468157994345e-35	4.47991824192698e-33	NA	"prevalence"	55	25
"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"body_site"	"nasal"	"body_sitenasal"	5.04002982669695	0	0.418551623505141	2.14758349252986e-33	1.70650288291026e-31	4.29516698505975e-33	2.78194661647716e-31	NA	"prevalence"	55	25
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia"	"body_site"	"skin"	"body_siteskin"	2.19546431162002	0	0.195847923861909	3.64002562007568e-29	2.68581890395584e-27	7.28005124015135e-29	4.37843081729103e-27	NA	"prevalence"	55	24
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-12.4857124160201	0	1.35102381146552	2.42685956370402e-20	1.67129728620417e-18	4.85371912740805e-20	2.72455433685172e-18	NA	"prevalence"	55	23
"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-11.8717325640171	-0.0556674217813798	1.19919801672023	1.79375729097639e-09	1.15809455098663e-07	3.58751457873522e-09	1.88792954705941e-07	NA	"abundance"	55	39
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	-16.0607836902845	0	2.82334589281693	1.28112129049609e-08	7.78469584166155e-07	1.28112129049609e-08	6.34531839175124e-07	NA	"prevalence"	55	23
"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	-14.0646645449832	0.76296219545088	1.63367974225802	1.38519091220111e-08	7.88451107271208e-07	2.77038180521468e-08	1.28533558084916e-06	NA	"abundance"	55	39
"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	-2.41964976694304	0	0.426945277822567	1.45020048772052e-08	7.88451107271208e-07	2.90040095441022e-08	1.28533558084916e-06	NA	"prevalence"	55	25
"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	-15.7723628228931	0	2.9812187724728	1.21932113249925e-07	6.29779364935864e-06	2.4386421163241e-07	1.02666833097245e-05	NA	"prevalence"	55	35
"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella"	"oxygen_availability"	"Mid_O2"	"oxygen_availabilityMid_O2"	8.01444965063022	-0.0556674217813798	0.955187831275301	3.14189857980423e-07	1.54551487282751e-05	6.28379617245578e-07	2.5195030367656e-05	NA	"abundance"	55	37
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia"	"body_site"	"nasal"	"body_sitenasal"	1.18004025333318	0	0.24018126373884	8.96366939379263e-07	4.20885021990354e-05	1.79273307528484e-06	6.86127840631742e-05	NA	"prevalence"	55	24
"Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus"	"oxygen_availability"	"Low_O2"	"oxygen_availabilityLow_O2"	-10.4240082535038	0.76296219545088	1.39864899603026	1.21732201747372e-06	5.46736366978413e-05	2.43464255307454e-06	8.91290882473375e-05	NA	"abundance"	55	37
